Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2000-12-05 00:00:00-05:00,6.75,6.75,6.75,6.75,200,0.0,0.0
2000-12-06 00:00:00-05:00,7.0,7.0,6.0,6.0,3825,0.0,0.0
2000-12-07 00:00:00-05:00,6.25,7.25,6.0,6.25,3975,0.0,0.0
2000-12-08 00:00:00-05:00,6.25,8.0,6.25,8.0,2500,0.0,0.0
2000-12-11 00:00:00-05:00,7.875,7.875,6.25,6.25,875,0.0,0.0
2000-12-12 00:00:00-05:00,6.5,7.0,6.0,6.5,600,0.0,0.0
2000-12-13 00:00:00-05:00,6.0,6.0,5.0,5.25,4413,0.0,0.0
2000-12-14 00:00:00-05:00,5.5,6.75,5.5,6.0,2163,0.0,0.0
2000-12-15 00:00:00-05:00,6.875,8.0,5.5,6.0,2913,0.0,0.0
2000-12-18 00:00:00-05:00,5.0,6.0,4.5,6.0,3850,0.0,0.0
2000-12-19 00:00:00-05:00,5.25,5.5,3.0,3.75,2613,0.0,0.0
2000-12-20 00:00:00-05:00,3.75,5.0,3.5,4.25,3238,0.0,0.0
2000-12-21 00:00:00-05:00,4.0,4.25,3.75,4.0,1325,0.0,0.0
2000-12-22 00:00:00-05:00,4.0,4.5,4.0,4.5,4800,0.0,0.0
2000-12-26 00:00:00-05:00,4.0,4.25,3.75,3.75,7125,0.0,0.0
2000-12-27 00:00:00-05:00,3.75,3.75,3.25,3.5,8438,0.0,0.0
2000-12-28 00:00:00-05:00,3.25,3.5,2.5,3.0,5713,0.0,0.0
2000-12-29 00:00:00-05:00,3.5,4.0,2.75,3.25,14413,0.0,0.0
2001-01-02 00:00:00-05:00,4.0,6.5,4.0,6.5,7600,0.0,0.0
2001-01-03 00:00:00-05:00,6.5,7.0,5.0,5.0,2913,0.0,0.0
2001-01-04 00:00:00-05:00,6.875,6.875,6.0,6.0,613,0.0,0.0
2001-01-05 00:00:00-05:00,5.75,7.25,5.75,7.0,1050,0.0,0.0
2001-01-08 00:00:00-05:00,6.75,6.75,5.0,6.0,263,0.0,0.0
2001-01-09 00:00:00-05:00,6.25,7.0,6.0,6.0,263,0.0,0.0
2001-01-10 00:00:00-05:00,5.5,6.0,5.5,6.0,200,0.0,0.0
2001-01-11 00:00:00-05:00,6.0,6.0,6.0,6.0,2075,0.0,0.0
2001-01-12 00:00:00-05:00,5.5,7.75,5.5,7.75,3600,0.0,0.0
2001-01-16 00:00:00-05:00,7.75,8.0,6.5,6.75,2000,0.0,0.0
