Price,Close,High,Low,Open,Volume
Ticker,^W5000,^W5000,^W5000,^W5000,^W5000
Date,,,,,
2015-11-10,21678.630859375,21692.3203125,21549.08984375,21645.0390625,0
2015-11-11,21586.6796875,21722.69921875,21585.689453125,21678.630859375,0
2015-11-12,21268.380859375,21586.6796875,21265.73046875,21586.6796875,0
2015-11-13,21043.66015625,21268.380859375,21036.779296875,21268.380859375,0
2015-11-16,21334.83984375,21335.140625,21000.73046875,21043.66015625,0
2015-11-17,21300.740234375,21476.75,21257.669921875,21334.83984375,0
2015-11-18,21638.0,21653.349609375,21300.740234375,21300.740234375,0
2015-11-19,21606.419921875,21669.0,21579.029296875,21638.0,0
2015-11-20,21681.310546875,21763.859375,21606.419921875,21606.419921875,0
2015-11-23,21673.94921875,21760.619140625,21620.650390625,21681.310546875,0
2015-11-24,21719.7109375,21764.80078125,21511.6796875,21673.94921875,0
2015-11-25,21741.869140625,21778.58984375,21693.33984375,21719.7109375,0
2015-11-27,21761.33984375,21788.98046875,21689.580078125,21741.869140625,0
2015-11-30,21658.55078125,21800.130859375,21658.439453125,21761.33984375,0
2015-12-01,21866.66015625,21873.3203125,21658.51953125,21658.51953125,0
2015-12-02,21627.380859375,21873.4296875,21602.6796875,21866.66015625,0
2015-12-03,21298.130859375,21682.919921875,21223.830078125,21627.380859375,0
2015-12-04,21678.169921875,21699.9296875,21298.130859375,21298.130859375,0
2015-12-07,21489.19921875,21678.169921875,21396.939453125,21678.169921875,0
2015-12-08,21365.01953125,21489.19921875,21240.619140625,21489.19921875,0
2015-12-09,21208.779296875,21545.060546875,21105.400390625,21365.01953125,0
2015-12-10,21254.919921875,21402.970703125,21190.2890625,21208.779296875,0
2015-12-11,20823.359375,21254.919921875,20784.439453125,21254.919921875,0
2015-12-14,20871.029296875,20897.7890625,20603.4296875,20823.359375,0
2015-12-15,21099.580078125,21195.619140625,20871.029296875,20871.029296875,0
2015-12-16,21412.890625,21446.9609375,21099.580078125,21099.580078125,0
2015-12-17,21100.33984375,21447.599609375,21099.560546875,21412.890625,0
2015-12-18,20754.91015625,21100.33984375,20751.98046875,21100.33984375,0
2015-12-21,20911.75,20923.58984375,20754.91015625,20754.91015625,0
2015-12-22,21100.220703125,21138.7109375,20905.69921875,20911.75,0
2015-12-23,21379.390625,21382.08984375,21100.220703125,21100.220703125,0
2015-12-24,21354.560546875,21420.509765625,21327.439453125,21379.390625,0
2015-12-28,21296.1796875,21354.560546875,21165.080078125,21354.560546875,0
2015-12-29,21509.859375,21533.26953125,21296.1796875,21296.1796875,0
2015-12-30,21350.220703125,21509.859375,21340.19921875,21509.859375,0
2015-12-31,21167.859375,21352.05078125,21165.150390625,21350.220703125,0
2016-01-04,20841.359375,21167.859375,20609.5,21167.859375,0
2016-01-05,20879.9296875,20927.650390625,20755.130859375,20841.359375,0
2016-01-06,20593.400390625,20879.9296875,20479.259765625,20879.9296875,0
2016-01-07,20089.529296875,20593.400390625,20050.689453125,20593.400390625,0
2016-01-08,19867.099609375,20266.470703125,19834.33984375,20089.529296875,0
2016-01-11,19848.26953125,20001.029296875,19627.900390625,19867.099609375,0
2016-01-12,19972.189453125,20099.650390625,19707.359375,19848.26953125,0
2016-01-13,19440.9296875,20089.470703125,19390.69921875,19972.189453125,0
2016-01-14,19755.740234375,19882.599609375,19295.08984375,19474.58984375,0
2016-01-15,19335.23046875,19755.740234375,19075.509765625,19755.740234375,0
2016-01-19,19286.30078125,19541.279296875,19115.189453125,19335.23046875,0
2016-01-20,19077.689453125,19286.30078125,18550.48046875,19286.30078125,0
2016-01-21,19172.58984375,19399.310546875,18976.2109375,19077.689453125,0
2016-01-22,19592.33984375,19605.25,19172.58984375,19172.58984375,0
2016-01-25,19261.48046875,19592.33984375,19248.580078125,19592.33984375,0
2016-01-26,19563.099609375,19589.0703125,19261.48046875,19261.48046875,0
2016-01-27,19335.66015625,19685.830078125,19233.55078125,19563.099609375,0
2016-01-28,19434.3203125,19551.26953125,19251.810546875,19335.66015625,0
2016-01-29,19926.099609375,19926.099609375,19434.3203125,19434.3203125,0
2016-02-01,19917.83984375,19998.4296875,19710.009765625,19926.099609375,0
2016-02-02,19524.150390625,19917.83984375,19466.630859375,19917.83984375,0
2016-02-03,19606.9296875,19659.140625,19189.83984375,19524.150390625,0
2016-02-04,19655.419921875,19783.560546875,19499.30078125,19606.9296875,0
2016-02-05,19244.939453125,19655.419921875,19184.58984375,19655.419921875,0
2016-02-08,18921.9296875,19244.939453125,18670.0703125,19244.939453125,0
2016-02-09,18883.75,19047.23046875,18710.26953125,18802.73046875,0
2016-02-10,18890.669921875,19201.4609375,18878.189453125,18883.75,0
2016-02-11,18656.05078125,18890.669921875,18462.4296875,18890.669921875,0
2016-02-12,19026.83984375,19026.83984375,18656.05078125,18656.05078125,0
2016-02-16,19370.55078125,19371.4609375,19026.83984375,19026.83984375,0
2016-02-17,19707.689453125,19748.509765625,19370.55078125,19370.55078125,0
2016-02-18,19618.25,19745.609375,19588.509765625,19707.689453125,0
2016-02-19,19624.1796875,19630.009765625,19451.6796875,19618.25,0
2016-02-22,19913.16015625,19930.369140625,19624.1796875,19624.1796875,0
2016-02-23,19676.830078125,19913.16015625,19665.83984375,19913.16015625,0
2016-02-24,19779.390625,19801.869140625,19363.8203125,19676.830078125,0
2016-02-25,19998.51953125,19998.990234375,19736.66015625,19815.029296875,0
2016-02-26,19996.51953125,20119.609375,19964.4296875,19998.51953125,0
2016-02-29,19864.01953125,20111.80078125,19860.130859375,19996.51953125,0
2016-03-01,20325.19921875,20325.19921875,19864.01953125,19864.01953125,0
2016-03-02,20435.939453125,20436.009765625,20234.900390625,20325.19921875,0
2016-03-03,20538.83984375,20541.220703125,20363.5703125,20435.939453125,0
2016-03-04,20609.470703125,20709.91015625,20477.76953125,20538.83984375,0
2016-03-07,20659.08984375,20701.150390625,20509.720703125,20609.470703125,0
2016-03-08,20379.580078125,20659.08984375,20361.650390625,20659.08984375,0
2016-03-09,20479.580078125,20508.98046875,20379.330078125,20379.580078125,0
2016-03-10,20452.400390625,20626.669921875,20251.30078125,20479.580078125,0
2016-03-11,20802.970703125,20805.599609375,20452.400390625,20452.400390625,0
2016-03-14,20772.48046875,20823.33984375,20693.849609375,20802.970703125,0
2016-03-15,20694.419921875,20772.48046875,20604.76953125,20772.48046875,0
2016-03-16,20836.220703125,20879.98046875,20657.009765625,20694.419921875,0
2016-03-17,20998.029296875,21051.880859375,20789.58984375,20836.220703125,0
2016-03-18,21096.80078125,21122.759765625,20998.029296875,20998.029296875,0
2016-03-21,21109.919921875,22360.140625,21029.2109375,21096.80078125,0
2016-03-22,21100.109375,21167.4296875,20992.94921875,21109.919921875,0
2016-03-23,20914.939453125,21100.109375,20906.33984375,21100.109375,0
2016-03-24,20914.76953125,20915.55078125,20754.279296875,20914.939453125,0
2016-03-28,20927.3203125,20987.83984375,20866.330078125,20914.76953125,0
2016-03-29,21152.0703125,21159.0703125,20837.44921875,20927.3203125,0
2016-03-30,21238.05078125,21327.73046875,21152.0703125,21152.0703125,0
2016-03-31,21224.3203125,21296.80078125,21199.400390625,21238.05078125,0
2016-04-04,21238.9296875,21349.0,21216.689453125,21328.349609375,0
2016-04-05,21036.73046875,21141.75,21011.2890625,21111.16015625,0
2016-04-06,21264.279296875,21269.08984375,21019.640625,21047.529296875,0
2016-04-07,21014.609375,21178.359375,20927.609375,21159.830078125,0
2016-04-08,21071.240234375,21205.099609375,21010.369140625,21123.55078125,0
2016-04-11,21021.240234375,21251.130859375,21020.23046875,21127.66015625,0
2016-04-12,21228.869140625,21263.16015625,20992.5703125,21050.970703125,0
2016-04-13,21469.58984375,21474.98046875,21324.9296875,21324.9296875,0
2016-04-14,21464.419921875,21518.130859375,21420.869140625,21470.130859375,0
2016-04-15,21463.5390625,21483.0390625,21422.75,21462.939453125,0
2016-04-18,21587.05078125,21590.83984375,21357.470703125,21393.08984375,0
2016-04-19,21681.640625,21722.869140625,21585.619140625,21653.490234375,0
2016-04-20,21698.669921875,21790.560546875,21623.58984375,21679.740234375,0
2016-04-21,21587.630859375,21717.73046875,21233.259765625,21233.259765625,0
2016-04-22,21622.0390625,21637.3203125,21509.8203125,21527.69921875,0
2016-04-25,21572.080078125,21580.130859375,21475.310546875,21556.720703125,0
2016-04-26,21632.990234375,21671.849609375,21552.390625,21609.4609375,0
2016-04-27,21686.16015625,21729.1796875,21551.060546875,21596.259765625,0
2016-04-28,21485.7109375,21727.349609375,21441.609375,21618.310546875,0
2016-04-29,21377.58984375,21463.009765625,21237.69921875,21450.26953125,0
2016-05-02,21539.890625,21557.609375,21371.83984375,21410.4296875,0
2016-05-04,21197.26953125,21294.109375,21135.609375,21211.669921875,0
2016-05-05,21179.650390625,21296.189453125,21133.830078125,21246.0,0
2016-05-06,21258.080078125,21261.009765625,21065.880859375,21106.23046875,0
2016-05-09,21276.419921875,21335.91015625,21215.189453125,21254.830078125,0
2016-05-10,21530.119140625,21534.5703125,21338.119140625,21338.119140625,0
2016-05-11,21324.5390625,21509.0703125,21322.76953125,21475.130859375,0
2016-05-12,21309.25,21427.369140625,21196.759765625,21388.990234375,0
2016-05-13,21117.2109375,21319.76953125,21078.41015625,21249.529296875,0
2016-05-16,21341.470703125,21396.41015625,21152.619140625,21152.619140625,0
2016-05-17,21132.33984375,21328.4609375,21068.390625,21306.970703125,0
2016-05-18,21130.3203125,21271.390625,21001.880859375,21082.830078125,0
2016-05-19,21003.8203125,21048.83984375,20857.830078125,20998.51953125,0
2016-05-20,21218.33984375,21265.2109375,21119.900390625,21119.900390625,0
2016-05-23,21225.19921875,21307.650390625,21198.259765625,21204.80078125,0
2016-05-24,21460.5703125,21496.0703125,21256.08984375,21256.08984375,0
2016-05-25,21613.630859375,21655.880859375,21532.189453125,21532.189453125,0
2016-05-26,21602.6796875,21653.80078125,21573.900390625,21625.580078125,0
2016-05-27,21701.470703125,21701.470703125,21603.669921875,21603.669921875,0
2016-06-01,21708.01953125,21722.970703125,21538.75,21566.109375,0
2016-06-02,21808.880859375,21808.880859375,21626.509765625,21681.669921875,0
2016-06-03,21742.3203125,21780.400390625,21604.4609375,21755.599609375,0
2016-06-06,21865.880859375,21905.080078125,21768.7109375,21779.3203125,0
2016-06-07,21900.740234375,21968.9296875,21886.48046875,21887.830078125,0
2016-06-08,21985.119140625,22000.0,21915.140625,21931.009765625,0
2016-06-09,21920.76953125,21941.7109375,21845.060546875,21891.4296875,0
2016-06-10,21688.7890625,21780.7890625,21627.41015625,21765.91015625,0
2016-06-13,21507.1796875,21713.80078125,21497.130859375,21608.390625,0
2016-06-14,21457.779296875,21531.529296875,21341.740234375,21455.970703125,0
2016-06-15,21445.939453125,21586.859375,21424.779296875,21498.650390625,0
2016-06-16,21490.810546875,21502.560546875,21202.890625,21341.509765625,0
2016-06-17,21431.140625,21487.529296875,21356.869140625,21486.240234375,0
2016-06-20,21522.419921875,21689.169921875,21513.359375,21580.140625,0
2016-06-21,21616.30078125,21664.720703125,21547.490234375,21600.880859375,0
2016-06-22,21574.94921875,21727.470703125,21563.94921875,21610.419921875,0
2016-06-23,21884.310546875,21884.310546875,21721.8203125,21738.859375,0
2016-06-24,21102.3203125,21464.369140625,21057.140625,21279.58984375,0
2016-06-27,20671.369140625,20931.7109375,20583.7890625,20931.7109375,0
2016-06-28,21045.109375,21045.109375,20846.05078125,20865.330078125,0
2016-06-29,21417.529296875,21444.23046875,21218.1796875,21218.1796875,0
2016-06-30,21711.380859375,21712.169921875,21402.140625,21470.73046875,0
2016-07-01,21739.0703125,21802.80078125,21680.669921875,21682.990234375,0
2016-07-05,21572.5703125,21741.5,21488.0703125,21741.5,0
2016-07-06,21723.580078125,21733.330078125,21462.240234375,21522.359375,0
2016-07-07,21698.890625,21818.259765625,21611.4296875,21733.390625,0
2016-07-08,22040.7109375,22064.109375,21841.0703125,21848.369140625,0
2016-07-11,22136.8203125,22195.529296875,22086.150390625,22104.419921875,0
2016-07-12,22309.2890625,22349.83984375,22233.130859375,22240.58984375,0
2016-07-13,22295.0703125,22350.619140625,22230.580078125,22350.619140625,0
2016-07-14,22385.830078125,22445.810546875,22351.419921875,22422.919921875,0
2016-07-15,22388.880859375,22463.94921875,22331.380859375,22458.900390625,0
2016-07-18,22441.189453125,22457.0,22355.150390625,22387.470703125,0
2016-07-19,22402.400390625,22422.599609375,22352.580078125,22383.9609375,0
2016-07-20,22516.080078125,22540.810546875,22405.759765625,22466.76953125,0
2016-07-21,22424.880859375,22527.66015625,22370.66015625,22509.029296875,0
2016-07-25,22476.470703125,22514.7109375,22413.83984375,22514.7109375,0
2016-07-26,22498.109375,22535.490234375,22398.8203125,22466.94921875,0
2016-07-27,22464.390625,22543.099609375,22384.8203125,22540.98046875,0
2016-07-28,22497.419921875,22528.830078125,22391.8203125,22441.5,0
2016-07-29,22547.919921875,22587.439453125,22429.5390625,22473.779296875,0
2016-08-01,22501.740234375,22590.5703125,22460.2890625,22539.349609375,0
2016-08-02,22339.779296875,22503.109375,22242.44921875,22487.669921875,0
2016-08-03,22430.369140625,22430.369140625,22290.009765625,22332.689453125,0
2016-08-04,22439.66015625,22484.419921875,22386.8203125,22428.55078125,0
2016-08-05,22634.55078125,22640.720703125,22516.91015625,22526.4296875,0
2016-08-08,22627.91015625,22679.490234375,22600.66015625,22655.2890625,0
2016-08-09,22639.259765625,22694.0390625,22607.880859375,22639.029296875,0
2016-08-10,22566.7109375,22654.9609375,22531.849609375,22644.55078125,0
2016-08-11,22670.5,22697.51953125,22594.58984375,22627.919921875,0
2016-08-12,22659.359375,22689.689453125,22609.69921875,22640.970703125,0
2016-08-15,22748.740234375,22785.41015625,22697.400390625,22697.400390625,0
2016-08-16,22611.189453125,22693.720703125,22610.169921875,22693.720703125,0
2016-08-17,22626.400390625,22636.94921875,22490.970703125,22595.94921875,0
2016-08-18,22699.80078125,22699.80078125,22622.7890625,22626.009765625,0
2016-08-19,22665.279296875,22679.76953125,22582.3203125,22647.150390625,0
2016-08-22,22668.2109375,22686.4296875,22589.080078125,22631.330078125,0
2016-08-24,22592.2109375,22713.740234375,22545.279296875,22695.94921875,0
